system_id,comp1,comp2,T_K,x1,y1,P_kPa,Psat1_kPa,Psat2_kPa,source,data_type
3,methanol,cyclohexane,298.15,0.75,0.338,49.1699,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.8,0.3101,52.0779,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.85,0.2921,54.455,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.9,0.2932,54.2529,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.95,0.3501,46.2412,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.98,0.5054,32.6959,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,1.0,1.0,16.8258,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.0,0.0,29.9357,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.02,0.7085,100.9172,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.04,0.7942,141.0536,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.06,0.8227,162.2533,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.08,0.8334,171.8473,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.1,0.8361,174.3915,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.15,0.8264,166.1178,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.2,0.8046,151.3912,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.25,0.7757,137.2021,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.3,0.7419,125.454,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.35,0.7044,116.4154,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.4,0.6641,109.879,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.45,0.6219,105.5538,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.5,0.5786,103.1899,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.55,0.5351,102.6085,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.6,0.4921,103.6956,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.65,0.4507,106.3736,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.7,0.412,110.5422,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
4,methanol,cyclohexane,318.15,0.75,0.3774,115.9515,44.493,29.9357,Sinor_Weber_1960_JCED5,lit-NRTL-calc
